modelo,avaliacao,fold,rmse,mae,r2,spearman,precision_at_k
dummy_media,cv_groupkfold,1.0,2.4075773719643414,1.435293534115033,-0.043182713999834865,,0.0625
dummy_media,cv_groupkfold,2.0,3.6533599343028107,1.8306910978365436,-0.007812171820259728,,0.03125
dummy_media,cv_groupkfold,3.0,1.8281771150455202,1.3929038240200065,-0.08589675747645242,,0.125
dummy_media,cv_groupkfold,4.0,4.632652614731501,2.0195732748655764,-0.00759023424516414,,0.09375
dummy_media,cv_groupkfold,5.0,4.059485630156607,1.7983682722926966,-0.004829694783325289,,0.03125
ridge,cv_groupkfold,1.0,2.2933221086503712,1.0643877557162464,0.053479570848310454,0.27843839670732157,0.375
ridge,cv_groupkfold,2.0,2.6016882023526744,1.4201777074152309,0.48890083533136786,0.43583406150971116,0.65625
ridge,cv_groupkfold,3.0,2.000019831179034,1.2275561135627926,-0.2996326213906493,0.3082996493378771,0.40625
ridge,cv_groupkfold,4.0,3.527488094651642,1.5132877569677223,0.41580801758849417,0.46365250824000837,0.5625
ridge,cv_groupkfold,5.0,3.2531398431464815,1.3782183452417298,0.35470855188479,0.47684924716156146,0.5
random_forest,cv_groupkfold,1.0,2.322949103592912,0.9693069573373233,0.028865763567040403,0.34487800223213155,0.40625
random_forest,cv_groupkfold,2.0,2.454244114966367,1.2753238493466759,0.5451898036915819,0.49070944156952756,0.59375
random_forest,cv_groupkfold,3.0,2.0166115649866425,1.0101572775400545,-0.32128500685589234,0.3703243472454208,0.46875
random_forest,cv_groupkfold,4.0,3.4745707622491127,1.41599909174923,0.43320396871835465,0.4681999626350584,0.5625
random_forest,cv_groupkfold,5.0,3.247361983794005,1.2869186258819774,0.3569987038142739,0.5180946553820917,0.5
dummy_media,temporal_2023_2024,,2.5401312862573655,1.6166915540373994,-0.038047253423456606,,0.08860759493670886
ridge,temporal_2023_2024,,2.749284319935168,0.9729306480412226,-0.2160294887486942,0.3704941169802179,0.4177215189873418
random_forest,temporal_2023_2024,,2.7508344150917123,1.1379375566249221,-0.2174011132069995,0.34325314080084246,0.4050632911392405
